Date;	P
1922-10-01;0.0
1922-10-02;2.0
1922-10-03;2.3
1922-10-04;5.3
1922-10-05;4.2
1922-10-06;5.2
1922-10-07;1.3
1922-10-08;4.2
1922-10-09;3.1
1922-10-10;2.2
1922-10-11;6.3
1922-10-12;5.4
1922-10-13;0.0
1922-10-14;0.0
1922-10-15;4.2
1922-10-16;2.2
1922-10-17;4.3
1922-10-18;5.2
1922-10-19;6.2
1922-10-20;0.0
1922-10-21;0.0
1922-10-22;0.0
1922-10-23;0.0
1922-10-24;0.0
1922-10-25;2.2
1922-10-26;0.0
1922-10-27;0.0
1922-10-28;0.0
1922-10-29;2.1
1922-10-30;0.0
1922-10-31;0.0
1922-11-01;0.0
1922-11-02;0.0
1922-11-03;0.0
1922-11-04;0.0
1922-11-05;0.0
1922-11-06;0.0
1922-11-07;0.0
1922-11-08;0.0
1922-11-09;0.0
1922-11-10;0.0
1922-11-11;0.0
1922-11-12;7.2
1922-11-13;3.4
1922-11-14;1.3
1922-11-15;0.0
1922-11-16;0.0
1922-11-17;0.0
1922-11-18;0.0
1922-11-19;0.0
1922-11-20;0.0
1922-11-21;0.0
1922-11-22;0.0
1922-11-23;0.0
1922-11-24;0.0
1922-11-25;0.0
1922-11-26;0.0
1922-11-27;2.2
1922-11-28;2.0
1922-11-29;0.0
1922-11-30;0.0
1922-12-01;0.0
1922-12-02;0.0
1922-12-03;0.0
1922-12-04;0.0
1922-12-05;0.0
1922-12-06;0.0
1922-12-07;0.0
1922-12-08;0.0
1922-12-09;0.0
1922-12-10;0.0
1922-12-11;0.0
1922-12-12;0.0
1922-12-13;0.0
1922-12-14;3.2
1922-12-15;0.0
1922-12-16;0.0
1922-12-17;1.0
1922-12-18;0.0
1922-12-19;1.2
1922-12-20;0.0
1922-12-21;0.0
1922-12-22;0.0
1922-12-23;0.0
1922-12-24;0.0
1922-12-25;0.0
1922-12-26;0.0
1922-12-27;0.0
1922-12-28;0.0
1922-12-29;0.0
1922-12-30;2.1
1922-12-31;3.2
1923-01-01;0.0
1923-01-02;0.0
1923-01-03;0.0
1923-01-04;0.0
1923-01-05;0.0
1923-01-06;0.0
1923-01-07;0.0
1923-01-08;0.0
1923-01-09;0.0
1923-01-10;0.0
1923-01-11;0.0
1923-01-12;2.1
1923-01-13;0.0
1923-01-14;0.0
1923-01-15;0.0
1923-01-16;0.0
1923-01-17;1.2
1923-01-18;2.2
1923-01-19;4.1
1923-01-20;3.2
1923-01-21;1.2
1923-01-22;0.0
1923-01-23;0.0
1923-01-24;0.0
1923-01-25;0.0
1923-01-26;0.0
1923-01-27;0.0
1923-01-28;0.0
1923-01-29;0.0
1923-01-30;0.0
1923-01-31;0.0
1923-02-01;0.0
1923-02-02;0.0
1923-02-03;0.0
1923-02-04;2.1
1923-02-05;0.0
1923-02-06;0.0
1923-02-07;0.0
1923-02-08;0.0
1923-02-09;0.0
1923-02-10;0.0
1923-02-11;0.0
1923-02-12;0.0
1923-02-13;0.0
1923-02-14;0.0
1923-02-15;2.2
1923-02-16;3.2
1923-02-17;0.0
1923-02-18;0.0
1923-02-19;2.2
1923-02-20;3.2
1923-02-21;0.0
1923-02-22;0.0
1923-02-23;2.1
1923-02-24;3.0
1923-02-25;4.2
1923-02-26;1.2
1923-02-27;1.0
1923-02-28;2.1
1923-03-01;3.2
1923-03-02;0.0
1923-03-03;0.0
1923-03-04;0.0
1923-03-05;0.0
1923-03-06;0.0
1923-03-07;0.0
1923-03-08;0.0
1923-03-09;0.0
1923-03-10;0.0
1923-03-11;2.2
1923-03-12;0.0
1923-03-13;0.0
1923-03-14;0.0
1923-03-15;2.1
1923-03-16;0.0
1923-03-17;0.0
1923-03-18;3.2
1923-03-19;0.0
1923-03-20;0.0
1923-03-21;0.0
1923-03-22;0.0
1923-03-23;0.0
1923-03-24;0.0
1923-03-25;0.0
1923-03-26;0.0
1923-03-27;0.0
1923-03-28;0.0
1923-03-29;0.0
1923-03-30;3.2
1923-03-31;2.1
1923-04-01;1.0
1923-04-02;2.1
1923-04-03;3.2
1923-04-04;1.1
1923-04-05;1.2
1923-04-06;3.3
1923-04-07;2.1
1923-04-08;0.0
1923-04-09;1.2
1923-04-10;3.2
1923-04-11;4.2
1923-04-12;3.2
1923-04-13;3.1
1923-04-14;0.0
1923-04-15;4.1
1923-04-16;0.0
1923-04-17;3.2
1923-04-18;0.0
1923-04-19;5.0
1923-04-20;3.2
1923-04-21;4.2
1923-04-22;4.3
1923-04-23;0.0
1923-04-24;0.0
1923-04-25;0.0
1923-04-26;0.0
1923-04-27;3.2
1923-04-28;4.2
1923-04-29;2.1
1923-04-30;5.2
1923-05-01;4.2
1923-05-02;4.1
1923-05-03;1.1
1923-05-04;3.2
1923-05-05;0.0
1923-05-06;0.0
1923-05-07;6.2
1923-05-08;5.4
1923-05-09;5.2
1923-05-10;4.3
1923-05-11;3.3
1923-05-12;2.3
1923-05-13;2.0
1923-05-14;0.0
1923-05-15;3.2
1923-05-16;0.0
1923-05-17;2.2
1923-05-18;0.0
1923-05-19;0.0
1923-05-20;6.2
1923-05-21;0.0
1923-05-22;8.3
1923-05-23;0.0
1923-05-24;0.0
1923-05-25;0.0
1923-05-26;0.0
1923-05-27;0.0
1923-05-28;0.0
1923-05-29;0.0
1923-05-30;0.0
1923-05-31;0.0
1923-06-01;0.0
1923-06-02;0.0
1923-06-03;0.0
1923-06-04;0.0
1923-06-05;0.0
1923-06-06;0.0
1923-06-07;5.0
1923-06-08;3.0
1923-06-09;0.0
1923-06-10;0.0
1923-06-11;0.0
1923-06-12;0.0
1923-06-13;0.0
1923-06-14;0.0
1923-06-15;0.0
1923-06-16;0.0
1923-06-17;0.0
1923-06-18;0.0
1923-06-19;2.0
1923-06-20;2.4
1923-06-21;2.5
1923-06-22;0.0
1923-06-23;0.0
1923-06-24;0.0
1923-06-25;0.0
1923-06-26;0.0
1923-06-27;0.0
1923-06-28;0.0
1923-06-29;0.0
1923-06-30;2.2
1923-07-01;4.3
1923-07-02;5.2
